,created_at,favorite_count,favorited,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,possibly_sensitive,retweet_count,retweeted,source,text,truncated,name,screen_name,location,description
0,2018-06-25 21:45:40,0,False,1011364831298015233,906918248708558848,,,,,,False,en,0.0,0,False,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Trump is STILL holding 2,300 kids as hostages in his sick political game! I just donated to help get these kids law… https://t.co/1MofUjlcc9",True,Dubs Hart,DubsHart,Cumbria,Sharing in the hope of a better World #RJCOB
1,2018-06-25 21:45:39,0,False,1011364826927509509,938533034659168256,,,,,,False,en,0.0,0,False,"<a href=""http://resist.bot"" rel=""nofollow"">RB Open Letters</a>","Here’s an open letter from Cheryle in West Chester, PA to @SenToomey #FamiliesBelongTogether https://t.co/H41ZmVEnqq",False,Resistbot Open Letters,openletterbot,United States,Real letters delivered to Congress and state governors. Send “resist” as a direct message to @resistbot to write your own. 👊🤖
2,2018-06-25 21:44:40,0,False,1011364579774001153,17414908,,,,,,False,en,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The takeaway: 41 percent of Americans are heartless racists.  https://t.co/U9cwWYQlub via @TPM #FamiliesBelongTogether,False,Patrick White,whitepatrick,"iPhone: 41.120196,-95.915053","I'm a writer/producer and musician based in Omaha, NE."
3,2018-06-25 21:44:24,0,False,1011364510085603330,938533034659168256,,,,,,False,en,0.0,0,False,"<a href=""http://resist.bot"" rel=""nofollow"">RB Open Letters</a>","Here’s an open letter from Cheryle in West Chester, PA to @RepRyanCostello #FamiliesBelongTogether https://t.co/7vRjSX1crv",False,Resistbot Open Letters,openletterbot,United States,Real letters delivered to Congress and state governors. Send “resist” as a direct message to @resistbot to write your own. 👊🤖
4,2018-06-25 21:44:13,0,False,1011364466670256128,13742192,,,,,,False,en,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We don't have to sit around feeling helpless. We can donate, we can assemble (in DC or around the US), — and, if we… https://t.co/z2fMGfjZ2i",True,SandraL #AbolishICE,SandraL,,"Geek mom, singer, lover of British TV. I post about politics, fandom, and general weirdness. 

Pronouns: Whatever works."
5,2018-06-25 21:44:13,0,False,1011364465173032961,904850074706030592,SenCortezMasto,1.0113618929405133e+18,1.0113618929405133e+18,8.113135657601638e+17,8.113135657601638e+17,False,en,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SenCortezMasto They didn’t know that we’re fighting for them? They probably don’t get to watch television. Thank y… https://t.co/yvCDDUHJhP,True,Bella Soul,fashionfunfemme,,Kindness is NOT Weakness!
6,2018-06-25 21:44:02,0,False,1011364421384441857,1728927894,JoyAnnReid,1.0113352187440292e+18,1.0113352187440292e+18,49698134.0,49698134.0,False,en,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@JoyAnnReid We have the ability to find missing ships lost to the oceans’s depths. With assistance, if it really wa… https://t.co/6C2aOLboVF",True,Stacy Jo Gunder,StacyGunder,Texas...North Texas,
7,2018-06-25 21:44:02,0,False,1011364421023817735,1000052993591570434,,,,,,True,en,0.0,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",That DNA testing may be necessary to reunite families shows what an utter failure the Trump Administration is.… https://t.co/OB8oUFNWy4,True,Anna-Michelle Grace,misfitpastor,,"Minister, advocate & theologian. I question, I doubt, and I encourage others to do the same. MA in Theology. she/her"
8,2018-06-25 21:44:00,0,False,1011364411364298752,888481889887059968,,,,,,False,en,0.0,0,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","It is immoral to tear toddlers from their mother's arms. NO ifs, ands, or buts about it! Take action with us:… https://t.co/3xiJGvVBzz",True,Blue Future,BlueFutureNow,"Washington, DC","a youth-led movement connecting young people to progressive campaigns, equipping them with the tools, skills, & network to be organizers for social change"
9,2018-06-25 21:43:39,0,False,1011364324986834945,1730427967,,,,,,False,en,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Just saw one lone protester in Fort Mill, SC on 160...  I want to join her. #FamiliesBelongTogether. @realDonaldTrump @MELANIATRUMP",False,Bonnybrook Manor,bonnybrookmanor,"South Carolina, USA",Worked in corp. America for 30 yrs. Left it for a much better life as a stay at home dad of 4 little guys 13 yrs ago. Married to a wonderful guy. #resist #lgbtq
10,2018-06-25 21:43:33,0,False,1011364297111293952,17159461,ClearlyNM,1.0113641693150536e+18,1.0113641693150536e+18,17159461.0,17159461.0,False,und,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/YygWkIU1Rl
#FamiliesBelongTogether",False,ClearlyNM,ClearlyNM,"Albuquerque, New Mexico",The Center for Civic Policy works with ordinary New Mexicans to amplify their voices in policy decisions that affect their lives and hold officials accountable.
11,2018-06-25 21:43:31,0,False,1011364290547408896,404990301,realDonaldTrump,,,25073877.0,25073877.0,True,und,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@realDonaldTrump #Resign @SenateMajLdr @SpeakerRyan #FamiliesBelongTogether #RememberPuertoRico https://t.co/d2NxpjDM06,False,Karen Rosar,klrosar,,
12,2018-06-25 21:43:30,0,False,1011364286344544256,181017132,,,,,,True,en,0.0,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#FamiliesBelongTogether #immigration #TakeAKnee (Also, #MAGA: pls don’t believe @realDonaldTrump or @FoxNews when t… https://t.co/zJ6lKTeW3e",True,Laura Sweet,laurasweetjane,"San Francisco Bay Area, CA","East-coaster now in CA (ahh!).15 yrs in Tech; now #CancerCoach/#EndofLife, #Writer looking to help make a shift in our #death-denying society #hpm #girlscout"
13,2018-06-25 21:43:30,0,False,1011364285224837123,18371238,FairfaxGOP,,,56747571.0,56747571.0,False,en,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@fairfaxGOP #immigration #FamiliesBelongTogether
U.S. must release child migrants held in family detention, court s… https://t.co/SHQAfDDa1f",True,scarlett_0hara,scarlett_0hara,"Virginia, USA","Born and raised in Western Europe - Brussels, naturalized USA. Former Democrat. Cured!"
14,2018-06-25 21:43:13,0,False,1011364212793401344,938533034659168256,,,,,,False,en,0.0,0,False,"<a href=""http://resist.bot"" rel=""nofollow"">RB Open Letters</a>","Here’s an open letter from Juan in Fort Worth, TX to @GovAbbott #FamiliesBelongTogether https://t.co/Wf9rWbete2",False,Resistbot Open Letters,openletterbot,United States,Real letters delivered to Congress and state governors. Send “resist” as a direct message to @resistbot to write your own. 👊🤖
15,2018-06-25 21:43:08,0,False,1011364191872126976,760162813784494081,,,,,,True,en,0.0,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hey @marcorubio let @SenFeinstein school you. ICE reports 99% in Alternatives to Detention show up for court. Can y… https://t.co/yNEQJQzX3Y,True,Patricia Maguire,PatMag7,,
16,2018-06-25 21:42:36,4,False,1011364060435271682,979535752324435973,,,,,,False,en,0.0,5,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rev @RevLuisAlfredo @ThePark1010 proclaims that #FamiliesBelongTogether at the launch of “All Rights for All, Witho… https://t.co/8wLDOed4Zm",True,Disciples of Christ ~ Northeastern Region,NeDoCRegion,"New York, NY","A Movement of Disciples of Christ in the Northeast united in following Jesus to do justice, love mercy and march #ForwardTogether in the #PoorPeoplesCampaign"
17,2018-06-25 21:42:35,0,False,1011364054810570752,772713402,,,,,,False,en,0.0,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#FamiliesBelongTogether 
No matter how they cross. https://t.co/TxlEcqOfHG",False,Lorie Meacham,LorieMeacham,Arizona U.S.,#Voluntaryist #AntiWar #AntiState #ZeroGov #ProPeople #ProPalestine #AllLivesMatter
18,2018-06-25 21:42:33,0,False,1011364044132020224,404990301,realDonaldTrump,,,25073877.0,25073877.0,True,und,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@realDonaldTrump #Resign @SenateMajLdr @SpeakerRyan #FamiliesBelongTogether #RememberPuertoRico https://t.co/XUwTbTtT8c,False,Karen Rosar,klrosar,,
19,2018-06-25 21:42:15,0,False,1011363970735886342,189018166,,,,,,False,en,0.0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Trump is STILL holding 2,300 kids as hostages in his sick political game! I just donated to help get these kids law… https://t.co/PBYFDqMie6",True,🌊 damselindefiance 🌊,brebeautyblog,Pennsylvania,Crue's mom. Feminist. MUA. Animal lover. Voter. WIP. Proud Democrat. Die mad about it. #RESIST #FamiliesBelongTogether
