,Tweets,len,ID,Date,Source,Likes,RTs
0,RT @FrankSharry: 💯👇 https://t.co/6An39b0MSx,43,1010291674222923777,2018-06-22 22:41:20,Twitter for iPhone,0,3
1,RT @benwikler: Update: Delaware came through. Protests are now planned in all 50 states. 523 of them. Hundreds of thousands of participants…,140,1010290709998555136,2018-06-22 22:37:30,Twitter for iPhone,0,971
2,RT @letamericavote: Hard to keep your story straight when you’re lying. They want a citizenship question because it would rig the #2020Cens…,140,1010110441891291136,2018-06-22 10:41:10,Twitter for iPhone,0,54
3,RT @ACLU: Happening NOW at LaGuardia Airport in NYC: citizens gathering to greet kids separated from their parents by the Trump administrat…,140,1009663285493403649,2018-06-21 05:04:20,Twitter for iPhone,0,16037
4,RT @mjhegar: Why am I running for Congress against a Tea Party Republican in Texas? It all started with a door: https://t.co/fuNyjLzIqM,135,1009510506338627584,2018-06-20 18:57:15,Twitter for iPhone,0,13155
5,RT @JasonKander: Watch her incredible ad and then chip in $5 to help @MJHegar flip this seat (and Congress) in November. https://t.co/zJAam…,140,1009510416962244608,2018-06-20 18:56:53,Twitter for iPhone,0,75
6,RT @united: United asks U.S. government not to fly separated immigrant children on our aircraft. https://t.co/MPPbhO6aqV,120,1009499620580438016,2018-06-20 18:13:59,Twitter for iPhone,0,22853
7,RT @annagalland: June 30th #FamiliesBelongTogether protests are ON. Trump's shift - thanks to public outrage - means kids and babies will s…,140,1009498689977667605,2018-06-20 18:10:17,Twitter for iPhone,0,1581
8,RT @Beatrizluthor: We need your help! .@SpeakerRyan is touting his immigration bill as a fix to end family separation. It DOES NOT. Plus ba…,140,1009473734548344833,2018-06-20 16:31:08,Twitter for iPhone,0,3
9,RT @Jorge_Silva: Thank you @RepJuanVargas!  We need more people confronting those who are enabling this cruelty! Shame on you @RepCurbelo!…,139,1009441289958551555,2018-06-20 14:22:12,Twitter for iPhone,0,69
10,RT @HispanicCaucus: We are literally standing with children on the House floor to say that we must #KeepFamiliesTogether! https://t.co/dPM3…,140,1009441198610833408,2018-06-20 14:21:50,Twitter for iPhone,0,137
11,"RT @madeleine: To be clear, immigrants, legal or not, are people who want to improve their lives. To refer to them as animals or insects is…",140,1009440906322333696,2018-06-20 14:20:41,Twitter for iPhone,0,41413
12,RT @benwikler: Every dot on this map represents a protest planned for June 30 against ripping families apart. Some already have tens of tho…,140,1009440746359934976,2018-06-20 14:20:03,Twitter for iPhone,0,3094
13,RT @SenFeinstein: Our bill puts the welfare of children first and foremost. It bars separation except in cases of abuse or trafficking. Any…,140,1009440677267197952,2018-06-20 14:19:46,Twitter for iPhone,0,3121
14,"RT @ABCPolitics: Kevin Costner reacts to family separations at the border, telling @TheView he's ""not recognizing America right now.""

""We…",139,1009202537835192321,2018-06-19 22:33:29,Twitter for iPhone,0,450
15,"RT @bhtyson: This is everything to me that is wonderful 👇
So proud of the work from @IanCeraolo @ashmarx9 and the whole LAV-NH team up ther…",140,1009191568836907008,2018-06-19 21:49:54,Twitter for iPhone,0,5
16,RT @JessicaHuseman: My latest: Kobach finally got his chance to prove that non-citizens were registering to vote. He failed. And in the pro…,140,1009190693074595846,2018-06-19 21:46:25,Twitter for iPhone,0,1026
17,RT @letamericavote: Judge reinforces that @KrisKobach1787 has been lying all along in order to justify laws that disenfranchise voters. htt…,140,1009190472370278401,2018-06-19 21:45:33,Twitter for iPhone,0,64
18,There is a solution to this crisis that Trump created-1)Trump can direct DHS to stop separating families &amp; stop tre… https://t.co/vEGlcQd6up,144,1009149786518417411,2018-06-19 19:03:52,Twitter Web Client,5,2
19,RT @CHIRLA: 🚨LIVE: Immigration youth is currently staging a powerful sit-in at .@SteveKnight25 office — children are asking his staff to VO…,140,1009147013001285632,2018-06-19 18:52:51,Twitter Web Client,0,13
20,Join a national protest on June 30th against Trump's policy to rip kids away from their moms and dads and to stop c… https://t.co/9sXwmhjgD1,140,1009126088155557889,2018-06-19 17:29:42,Twitter Web Client,0,1
21,RT @JohnLeguizamo: Read!!  Retweet!! #KeepFamiliesTogetherAct #WhereAreTheChidren https://t.co/pXf5w9H9bB,105,1009069897370959872,2018-06-19 13:46:25,Twitter for iPhone,0,53
22,Celebrate freedom and keep fighting for justice and equality #Juneteenth https://t.co/fs8aHEhwjN,96,1009068727424487424,2018-06-19 13:41:46,Twitter for iPhone,0,0
23,Everyday I fight to protect the right for everyone to vote @letamericavote -today I’m exercising my right to vote i… https://t.co/jXeqwLi2rz,140,1009067134276784128,2018-06-19 13:35:27,Twitter for iPhone,167,24
24,"RT @JasonKander: Imagine being so powerful you could make one phone call and (BAM!) you’ve reunited thousands of scared, confused little ki…",140,1009033263640469504,2018-06-19 11:20:51,Twitter for iPhone,0,29986
25,"RT @benwikler: If you’ve been watching the news in agony about families being ripped apart, wondering what you could do—here is what to do.…",140,1008922848671518722,2018-06-19 04:02:06,Twitter for iPhone,0,3274
26,RT @letamericavote: Kobach created unnecessary barriers to voting and tried to justify these laws with racist lies about our elections. He…,139,1008870691796643841,2018-06-19 00:34:51,Twitter for iPhone,0,103
